surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
1,1,1,0,1,1,3,0,0.86,20,0,0,0.9567,0.9567,0,0,0.8518,0.269,0.2856,0.5,2,3,3,1,1,1,4,2,5,5,1,5,1,2,1,1,2,10,1,1.6,0
1,1,2,0,1,0,1,0,0.291,0,30,0,0.2764,0,0.2764,0,-0.8686,0.714,0.1593,0,2,3,3,1,1,1,4,2,5,5,1,5,1,2,0,0,0,0,0,1.6,0
1,1,3,1,1,0,2,8,0.672,10,0,1,-0.4476,0,0,-0.4476,0.8934,0.3652,-0.1535,0,2,3,3,1,1,1,4,2,5,5,1,5,1,2,0,0,0,0,0,-1.8,0
2,2,1,0,1,0,2,1,0.546,10,0,0,999,999,0,0,0.8731,-0.9886,0.6284,1.5,1,4,6,2,1,2,1,1,3,5,0,1,3,2,1,1,2,9,1,0.9,13
2,2,2,0,1,0,1,0,-0.245,0,25,0,999,0,999,0,-1.8514,0.4181,-0.1725,0,1,4,6,2,1,2,1,1,3,5,0,1,3,2,0,0,0,0,0,0.9,13
2,2,3,1,1,1,3,9,0.79,5,0,1,999,0,0,999,0.9501,0.4676,0.3137,0,1,4,6,2,1,2,1,1,3,5,0,1,3,2,0,0,0,0,0,-1.1,13
4,3,1,0,1,0,1,0,0.029,40,0,0,-0.6935,-0.6935,0,0,0.4405,-1.4959,0.4011,3,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,1,1,10,1,-0.9,0
4,3,2,1,1,1,3,28,0.641,0,20,0,1.5718,0,1.5718,0,0.2518,1.0614,0.2532,0,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,0,0,0,0,1.1,0
4,3,3,0,1,0,2,1,-0.088,15,0,0,-0.8043,0,0,-0.8043,0.4653,-1.0675,-2.586,0,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,0,0,0,0,1.1,0
5,4,1,0,1,0,1,1,0.472,20,0,0,0.537,0.537,0,0,0.5381,-0.7843,1.1734,1.5,2,1,3,1,1,2,3,1,7,5,1,5,1,3,1,0,1,10,1,0.8,1
5,4,2,0,1,0,2,1,0.708,0,20,0,0.06,0,0.06,0,0.1127,1.1533,-0.4739,0,2,1,3,1,1,2,3,1,7,5,1,5,1,3,0,0,0,0,0,1.7,1
5,4,3,1,1,1,3,9,0.782,7,0,1,-0.1735,0,0,-0.1735,0.6785,0.9933,-0.5941,0,2,1,3,1,1,2,3,1,7,5,1,5,1,3,0,0,0,0,0,-1,1
8,5,1,1,1,1,3,5,0.458,5,0,0,999,999,0,0,0.6331,-0.5654,-0.0146,0.5,2,1,6,2,2,1,2,1,7,4,3,4,3,2,1,1,2,10,1,0.7,14
8,5,2,0,1,0,2,3,0.185,0,10,0,999,0,999,0,-0.7335,0.5859,-0.4131,0,2,1,6,2,2,1,2,1,7,4,3,4,3,2,0,0,0,0,0,0.7,14
8,5,3,0,1,0,1,19,0.519,5,0,1,999,0,0,999,0.7275,-0.1392,-0.107,0,2,1,6,2,2,1,2,1,7,4,3,4,3,2,0,0,0,0,0,0.1,14
9,6,1,0,1,0,1,0,0.102,20,0,0,-0.5987,-0.5987,0,0,-0.4904,-0.9286,0.3031,0.5,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,-9,1,0.5,0
9,6,2,0,1,0,2,0,0.27,0,45,0,0.6773,0,0.6773,0,-1.4012,0.7993,0.104,0,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,0,0,1.4,0
9,6,3,1,1,1,3,21,0.69,10,0,0.5,-0.1835,0,0,-0.1835,0.7995,0.5941,0.0461,0,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,0,0,-1.3,0
10,7,1,0,1,0,1,3,-30.611,15,0,0,1.6907,1.6907,0,0,0.5323,-0.4413,0.9418,1.5,1,1,2,2,1,1,2,1,6,2,3,4,2,2,1,1,2,10,1,0.5,0
10,7,2,0,1,0,2,0,13.083,0,-9,0,-0.374,0,-0.374,0,-1.5076,-0.8673,0.081,0,1,1,2,2,1,1,2,1,6,2,3,4,2,2,0,0,0,0,0,1.2,0
10,7,3,1,1,1,3,16,-28.728,15,0,0.5,0.5151,0,0,0.5151,0.6455,0.3668,-0.3495,0,1,1,2,2,1,1,2,1,6,2,3,4,2,2,0,0,0,0,0,-0.8,0
12,8,1,0,1,0,1,1,0.935,35,0,0,-0.1798,-0.1798,0,0,1.041,0.6414,0.6616,3,1,4,6,1,1,1,2,1,7,5,5,3,3,2,1,1,2,8,1,1.2,2
12,8,2,0,1,0,2,0,0.293,0,45,0,-0.3499,0,-0.3499,0,-1.6682,1.3328,0.7136,0,1,4,6,1,1,1,2,1,7,5,5,3,3,2,0,0,0,0,0,1.2,2
12,8,3,1,1,1,3,5,0.967,20,0,0.5,-0.7343,0,0,-0.7343,1.1304,0.9594,0.1107,0,1,4,6,1,1,1,2,1,7,5,5,3,3,2,0,0,0,0,0,-1.2,2
13,9,1,0,1,1,3,3,0.305,25,0,0,0.7437,0.7437,0,0,0.3663,-0.5301,0.1592,3,2,2,3,2,1,1,3,1,6,3,2,0,3,2,1,1,2,10,1,1.1,0
13,9,2,0,1,0,1,0,-0.138,0,40,0,-0.0115,0,-0.0115,0,-1.2125,-0.1919,0.246,0,2,2,3,2,1,1,3,1,6,3,2,0,3,2,0,0,0,0,0,1.1,0
13,9,3,1,1,0,2,12,0.683,15,0,0.5,0.2747,0,0,0.2747,0.9635,0.3397,-0.8128,0,2,2,3,2,1,1,3,1,6,3,2,0,3,2,0,0,0,0,0,-0.1,0
14,10,1,0,1,0,2,0,0.317,20,0,0,999,999,0,0,0.0664,-0.1899,-0.246,0.5,2,2,6,2,1,1,1,1,5,5,3,1,3,3,1,1,2,10,1,1,12
14,10,2,0,1,0,1,0,0.083,0,-9,0,999,0,999,0,-0.9523,-0.6319,0.815,0,2,2,6,2,1,1,1,1,5,5,3,1,3,3,0,0,0,0,0,1,12
14,10,3,1,1,1,3,0,0.631,13,0,1,999,0,0,999,0.4532,0.4972,0.4634,0,2,2,6,2,1,1,1,1,5,5,3,1,3,3,0,0,0,0,0,-0.6,12
15,11,1,0,1,0,2,0,0.131,-9,0,0,0.9239,0.9239,0,0,-0.0946,-0.7706,-0.3589,-9,2,1,1,2,1,2,1,0,4,2,4,6,2,2,9,9,9,-9,0,0.5,1
15,11,2,1,1,1,3,23,0.746,0,10,0,0.9324,0,0.9324,0,0.5694,0.3086,0.0692,0,2,1,1,2,1,2,1,0,4,2,4,6,2,2,0,0,0,0,0,0.9,1
15,11,3,0,1,0,1,1,0.607,5,0,0,0.3646,0,0,0.3646,1.0676,-0.204,-0.463,0,2,1,1,2,1,2,1,0,4,2,4,6,2,2,0,0,0,0,0,-0.5,1
16,12,1,0,0,0,2,0,0.009,20,0,0,-1.1053,-1.1053,0,0,-0.3473,-1.1573,0.2482,1.5,2,4,4,1,1,1,2,2,3,5,1,4,3,1,0,0,0,10,3,0.5,0
16,12,2,0,0,0,1,0,0.276,0,20,0,-0.5715,0,-0.5715,0,-1.216,0.811,1.341,0,2,4,4,1,1,1,2,2,3,5,1,4,3,1,0,0,0,0,0,1.2,0
16,12,3,0,0,1,3,0,1.136,7,0,1,0.2151,0,0,0.2151,1.3357,1.1102,0.3835,0,2,4,4,1,1,1,2,2,3,5,1,4,3,1,0,0,0,0,0,-1.1,0
17,13,1,0,1,0,1,0,0.274,30,0,0,-0.2098,-0.2098,0,0,0.3303,-0.8015,0.2003,1.5,2,5,5,1,1,1,3,2,6,5,1,5,2,2,1,0,1,8,1,0.5,1
17,13,2,0,1,0,2,1,0.212,0,30,0,0.637,0,0.637,0,-0.9086,0.6957,0.4858,0,2,5,5,1,1,1,3,2,6,5,1,5,2,2,0,0,0,0,0,1.8,1
17,13,3,1,1,1,3,11,1.204,10,0,0.7,0.8414,0,0,0.8414,1.6472,1.3194,0.1126,0,2,5,5,1,1,1,3,2,6,5,1,5,2,2,0,0,0,0,0,-0.8,1
19,14,1,0,1,0,1,0,0.552,-9,0,0,-2.1563,-2.1563,0,0,0.6588,-0.4386,-0.3873,0.5,2,4,2,2,1,2,4,3,4,2,2,5,2,4,0,0,0,-9,1,0.9,0
19,14,2,1,1,1,3,25,0.451,0,10,0,0.8102,0,0.8102,0,-0.5871,1.0545,-0.1618,0,2,4,2,2,1,2,4,3,4,2,2,5,2,4,0,0,0,0,0,0.9,0
19,14,3,0,1,0,2,2,-0.136,5,0,0.8,-1.0101,0,0,-1.0101,0.1162,-0.9783,-3.0892,0,2,4,2,2,1,2,4,3,4,2,2,5,2,4,0,0,0,0,0,-1.1,0
20,15,1,0,1,0,1,0,-0.7,10,0,0,999,999,0,0,0.3244,-1.8538,-0.7817,1.5,2,1,1,2,1,2,2,0,4,2,4,2,2,4,0,0,0,7,1,0.7,12
20,15,2,0,1,1,3,5,0.6,0,10,0,999,0,999,0,0.127,0.1032,0.0804,0,2,1,1,2,1,2,2,0,4,2,4,2,2,4,0,0,0,0,0,1.4,12
20,15,3,1,1,0,2,2,-0.7,5,0,0,999,0,0,999,1.2191,0.0646,-0.5335,0,2,1,1,2,1,2,2,0,4,2,4,2,2,4,0,0,0,0,0,0.7,12
23,16,1,0,1,0,2,0,-0.658,35,0,0,-1.41,-1.41,0,0,-0.797,-2.0612,-0.8673,3,1,1,3,2,1,1,3,1,5,3,2,5,2,1,0,0,0,9,1,0.7,0
23,16,2,0,1,0,1,0,-0.024,0,60,0,0.1707,0,0.1707,0,-0.9573,0.2435,-0.1969,0,1,1,3,2,1,1,3,1,5,3,2,5,2,1,0,0,0,0,0,0.7,0
23,16,3,1,1,1,3,6,0.821,20,0,0.5,-0.2357,0,0,-0.2357,0.7211,0.7778,-0.1962,0,1,1,3,2,1,1,3,1,5,3,2,5,2,1,0,0,0,0,0,-0.7,0
24,17,1,0,1,1,3,5,0.877,10,0,0,1.2561,1.2561,0,0,1.2691,-0.4385,1.1759,1.5,2,6,5,2,1,2,2,1,5,5,2,4,2,2,1,1,2,10,1,1.3,1
24,17,2,0,1,0,1,8,0.866,0,25,0,0.0648,0,0.0648,0,0.163,1.375,0.8745,0,2,6,5,2,1,2,2,1,5,5,2,4,2,2,0,0,0,0,0,1.3,1
24,17,3,1,1,0,2,3,0.808,20,0,0.5,0.2213,0,0,0.2213,0.7227,0.9044,0.3493,0,2,6,5,2,1,2,2,1,5,5,2,4,2,2,0,0,0,0,0,-1.5,1
25,18,1,0,1,0,2,1,0.229,20,0,0,1.4766,1.4766,0,0,0.1695,-0.8155,1.364,0.5,1,1,6,2,1,1,2,1,7,5,5,2,2,4,0,0,0,9,1,-1.1,0
25,18,2,0,1,0,1,1,0.631,0,30,0,0.3243,0,0.3243,0,-0.4255,1.0101,1.8163,0,1,1,6,2,1,1,2,1,7,5,5,2,2,4,0,0,0,0,0,2.3,0
25,18,3,1,1,1,3,11,0.833,10,0,0.5,-1.0248,0,0,-1.0248,0.7472,1.0435,-0.0765,0,1,1,6,2,1,1,2,1,7,5,5,2,2,4,0,0,0,0,0,-0.6,0
26,19,1,0,1,0,1,0,0.437,20,0,0,-0.5324,-0.5324,0,0,0.7916,-0.846,0.7703,0.5,2,5,4,1,1,1,5,1,7,5,1,5,3,2,0,0,0,-9,1,1.4,0
26,19,2,1,1,1,3,16,0.675,0,10,0,1.8504,0,1.8504,0,0.6032,0.3581,1.5426,0,2,5,4,1,1,1,5,1,7,5,1,5,3,2,0,0,0,0,0,1.4,0
26,19,3,0,1,0,2,12,0.025,10,0,0.5,-1.1965,0,0,-1.1965,-0.4847,-0.0568,-1.197,0,2,5,4,1,1,1,5,1,7,5,1,5,3,2,0,0,0,0,0,-1.3,0
27,20,1,0,1,0,2,0,0.274,30,0,0,0.8075,0.8075,0,0,0.5114,-1.4207,0.2477,1.5,1,1,5,2,1,1,3,3,5,5,3,6,4,4,1,0,1,10,1,0.9,0
27,20,2,0,1,0,1,0,-0.008,0,38,0,-0.437,0,-0.437,0,-1.5554,0.6282,-0.0579,0,1,1,5,2,1,1,3,3,5,5,3,6,4,4,0,0,0,0,0,0.9,0
27,20,3,1,1,1,3,11,0.767,10,0,1,0.7362,0,0,0.7362,1.2338,0.5902,-0.2784,0,1,1,5,2,1,1,3,3,5,5,3,6,4,4,0,0,0,0,0,-1.4,0
28,21,1,0,0,0,2,0,-0.249,30,0,0,999,999,0,0,-0.8748,-1.3298,0.8547,1.5,2,1,3,1,1,1,4,2,5,3,1,5,2,2,1,0,1,5,1,1.1,11
28,21,2,0,0,0,1,0,-0.057,0,45,0,999,0,999,0,-1.6803,0.5113,1.0608,0,2,1,3,1,1,1,4,2,5,3,1,5,2,2,0,0,0,0,0,1.1,11
28,21,3,0,0,1,3,16,0.996,15,0,1,999,0,0,999,1.3956,0.4576,-0.2173,0,2,1,3,1,1,1,4,2,5,3,1,5,2,2,0,0,0,0,0,1.1,11
30,22,1,0,0,0,2,5,0.496,35,0,0,0.3358,0.3358,0,0,0.7759,-0.83,0.8738,3,2,6,6,2,1,1,3,1,5,5,3,5,2,4,0,1,1,10,1,-1.2,0
30,22,2,0,0,1,3,8,0.519,0,25,0,1.386,0,1.386,0,-0.6147,0.8914,0.2404,0,2,6,6,2,1,1,3,1,5,5,3,5,2,4,0,0,0,0,0,1.3,0
30,22,3,0,0,0,1,6,0.221,8,0,0.5,-0.9285,0,0,-0.9285,0.6182,-0.8722,-0.63,0,2,6,6,2,1,1,3,1,5,5,3,5,2,4,0,0,0,0,0,-0.6,0
32,23,1,0,1,0,1,0,0.279,-9,0,0,-0.7654,-0.7654,0,0,0.5401,-1.2521,0.5811,0.5,1,1,2,1,1,2,1,0,4,3,0,1,2,4,0,0,0,-9,1,1.3,0
32,23,2,1,1,1,3,23,1.457,0,1,0,1.0547,0,1.0547,0,1.8575,1.3794,0.5109,0,1,1,2,1,1,2,1,0,4,3,0,1,2,4,0,0,0,0,0,1.3,0
32,23,3,0,1,0,2,0,0.968,-9,0,0,1.3074,0,0,1.3074,1.131,0.5692,0.2764,0,1,1,2,1,1,2,1,0,4,3,0,1,2,4,0,0,0,0,0,1.3,0
33,24,1,0,1,0,1,0,-0.407,15,0,0,0.6895,0.6895,0,0,-0.5716,-1.622,-0.1558,3,2,1,1,2,1,2,5,3,4,2,4,5,3,4,0,0,0,6,3,0.5,0
33,24,2,1,1,0,2,26,-0.015,0,10,0,0.5268,0,0.5268,0,-1.6648,0.9664,0.3872,0,2,1,1,2,1,2,5,3,4,2,4,5,3,4,0,0,0,0,0,1.6,0
33,24,3,0,1,1,3,7,0.706,5,0,0.7,1.1255,0,0,1.1255,1.5281,-0.5041,0.126,0,2,1,1,2,1,2,5,3,4,2,4,5,3,4,0,0,0,0,0,-0.6,0
34,25,1,1,1,1,3,3,0.396,10,0,0,1.3914,1.3914,0,0,0.5219,-0.1777,-0.7022,1.5,2,1,4,2,1,1,3,1,7,5,2,5,2,2,1,1,2,10,1,0.6,0
34,25,2,0,1,0,1,0,-0.494,0,30,0,-1.0699,0,-1.0699,0,-2.4583,0.4254,-1.925,0,2,1,4,2,1,1,3,1,7,5,2,5,2,2,0,0,0,0,0,1.5,0
34,25,3,0,1,0,2,6,0.081,10,0,0.5,-1.7317,0,0,-1.7317,-0.0023,0.2489,-2.7095,0,2,1,4,2,1,1,3,1,7,5,2,5,2,2,0,0,0,0,0,-1.2,0
35,26,1,0,1,0,2,0,0.076,20,0,0,-1.7219,-1.7219,0,0,-0.0307,-0.9641,0.4231,0.5,1,2,4,1,1,1,5,3,7,5,1,5,2,1,1,1,2,9,1,0.8,0
35,26,2,0,1,0,1,0,0.169,0,30,0,-1.2421,0,-1.2421,0,-1.6466,1.3349,-0.2128,0,1,2,4,1,1,1,5,3,7,5,1,5,2,1,0,0,0,0,0,1.6,0
35,26,3,1,1,1,3,22,0.926,10,0,0.6,0.1504,0,0,0.1504,0.9598,0.796,0.4321,0,1,2,4,1,1,1,5,3,7,5,1,5,2,1,0,0,0,0,0,-0.6,0
36,27,1,0,1,0,1,0,0.076,12,0,0,0.4136,0.4136,0,0,0.1805,-1.5521,1.709,0.5,2,3,3,1,1,1,3,2,7,4,1,5,1,2,1,1,2,10,2,1,0
36,27,2,0,1,0,2,6,1.086,0,8,0,0.9364,0,0.9364,0,0.961,0.9503,0.1449,0,2,3,3,1,1,1,3,2,7,4,1,5,1,2,0,0,0,0,0,1.9,0
36,27,3,1,1,1,3,9,0.382,7,0,1,0.9842,0,0,0.9842,0.379,0.0156,-1.1868,0,2,3,3,1,1,1,3,2,7,4,1,5,1,2,0,0,0,0,0,-0.8,0
37,28,1,1,1,0,1,1,-0.206,40,0,0,-1.251,-1.251,0,0,-0.7321,-2.0115,0.7023,0.5,0,2,2,2,1,2,2,1,6,5,5,0,3,3,0,1,1,10,1,0.9,0
37,28,2,0,1,1,3,8,0.371,0,30,0,1.6321,0,1.6321,0,-0.6185,0.4974,0.8665,0,0,2,2,2,1,2,2,1,6,5,5,0,3,3,0,0,0,0,0,1.8,0
37,28,3,0,1,0,2,30,0.537,10,0,1,-0.7983,0,0,-0.7983,0.6581,0.4047,-0.8621,0,0,2,2,2,1,2,2,1,6,5,5,0,3,3,0,0,0,0,0,-1.8,0
38,29,1,0,0,0,2,0,0.321,15,0,0,999,999,0,0,0.1033,-0.3883,0.0118,1.5,2,5,6,2,2,2,2,1,1,5,3,2,3,4,1,1,2,10,1,1,13
38,29,2,0,0,0,1,0,-0.004,0,-9,0,999,0,999,0,-1.1451,-0.29,-0.0478,0,2,5,6,2,2,2,2,1,1,5,3,2,3,4,0,0,0,0,0,1,13
38,29,3,0,0,1,3,0,0.597,15,0,1,999,0,0,999,0.7152,0.1857,-0.1042,0,2,5,6,2,2,2,2,1,1,5,3,2,3,4,0,0,0,0,0,-1,13
39,30,1,0,1,0,2,0,-0.383,45,0,0,-0.4536,-0.4536,0,0,-0.4819,-1.7898,-0.9027,3,2,1,6,2,1,2,2,2,6,5,2,5,4,4,0,1,1,10,1,1,4
39,30,2,0,1,0,1,0,-0.287,0,60,0,-0.9094,0,-0.9094,0,-1.0023,-0.3936,-1.0946,0,2,1,6,2,1,2,2,2,6,5,2,5,4,4,0,0,0,0,0,0.4,4
39,30,3,1,1,1,3,14,0.424,10,0,1,-1.1719,0,0,-1.1719,0.2466,0.1598,-0.7314,0,2,1,6,2,1,2,2,2,6,5,2,5,4,4,0,0,0,0,0,-0.7,4
41,31,1,0,1,0,2,5,0.289,3,0,0,-0.7892,-0.7892,0,0,0.5698,-1.1167,0.0373,0.5,2,4,6,2,1,1,1,1,5,5,3,2,3,3,0,0,0,5,1,0.9,8
41,31,2,1,1,1,3,19,0.474,0,5,0,0.1094,0,0.1094,0,0.1711,0.5367,-0.6495,0,2,4,6,2,1,1,1,1,5,5,3,2,3,3,0,0,0,0,0,0.9,8
41,31,3,0,1,0,1,6,0.711,3,0,1,-0.6941,0,0,-0.6941,0.8585,0.7347,-0.3573,0,2,4,6,2,1,1,1,1,5,5,3,2,3,3,0,0,0,0,0,-1.1,8
42,32,1,0,1,0,2,0,0.288,-9,0,0,0.8514,0.8514,0,0,0.0367,-1.4939,1.3932,1.5,1,1,1,2,1,2,1,1,3,5,5,0,4,4,1,1,2,10,1,1.8,0
42,32,2,0,1,0,1,0,0.175,0,20,0,0.3972,0,0.3972,0,-1.0606,1.9873,-0.5713,0,1,1,1,2,1,2,1,1,3,5,5,0,4,4,0,0,0,0,0,1.8,0
42,32,3,1,1,1,3,9,1.674,8,0,1,1.2554,0,0,1.2554,2.288,1.8863,1.1041,0,1,1,1,2,1,2,1,1,3,5,5,0,4,4,0,0,0,0,0,-0.2,0
44,33,1,0,1,0,2,0,-0.037,15,0,0,0.6617,0.6617,0,0,-0.1004,-1.0196,-0.537,0.5,1,4,3,1,2,2,1,0,6,3,1,5,4,2,1,1,2,8,1,0.4,2
44,33,2,0,1,0,1,0,-0.143,0,30,0,0.2236,0,0.2236,0,-1.6768,0.5372,-0.3364,0,1,4,3,1,2,2,1,0,6,3,1,5,4,2,0,0,0,0,0,1,2
44,33,3,1,1,1,3,29,0.771,5,0,0,-0.2784,0,0,-0.2784,1.0478,0.521,-0.1576,0,1,4,3,1,2,2,1,0,6,3,1,5,4,2,0,0,0,0,0,-1.3,2
45,34,1,0,1,1,3,5,0.272,10,0,0,0.6617,0.6617,0,0,0.3245,-1.3438,1.9048,0.5,1,6,3,1,2,2,1,0,6,3,1,5,3,4,1,1,2,10,1,1.7,2
45,34,2,1,1,0,1,3,0.194,0,10,0,0.2236,0,0.2236,0,-0.677,0.6199,-0.6494,0,1,6,3,1,2,2,1,0,6,3,1,5,3,4,0,0,0,0,0,0.9,2
45,34,3,0,1,0,2,3,0.32,5,0,0,-0.2784,0,0,-0.2784,0.5651,-0.1585,-0.7705,0,1,6,3,1,2,2,1,0,6,3,1,5,3,4,0,0,0,0,0,-0.6,2
47,35,1,0,1,0,1,0,0.323,15,0,0,-0.4202,-0.4202,0,0,0.1384,-0.558,0.3653,0.5,1,1,2,1,1,2,1,0,6,4,0,3,2,4,1,1,2,10,1,1,0
47,35,2,1,1,1,3,6,0.785,0,5,0,1.5048,0,1.5048,0,0.6827,0.4549,-0.1987,0,1,1,2,1,1,2,1,0,6,4,0,3,2,4,0,0,0,0,0,1,0
47,35,3,0,1,0,2,1,0.418,10,0,0,-0.9141,0,0,-0.9141,0.6261,-0.598,-0.0088,0,1,1,2,1,1,2,1,0,6,4,0,3,2,4,0,0,0,0,0,1,0
48,36,1,0,1,0,2,0,0.808,20,0,0,-0.1344,-0.1344,0,0,0.8014,0.2534,1.021,1.5,2,5,3,1,1,1,4,2,7,3,1,6,2,2,1,0,1,9,1,2,4
48,36,2,0,1,0,1,0,0.311,0,30,0,-0.4621,0,-0.4621,0,-1.0654,0.7017,0.6735,0,2,5,3,1,1,1,4,2,7,3,1,6,2,2,0,0,0,0,0,1,4
48,36,3,1,1,1,3,24,0.898,10,0,1,-0.628,0,0,-0.628,1.2491,0.4751,0.628,0,2,5,3,1,1,1,4,2,7,3,1,6,2,2,0,0,0,0,0,-1.2,4
49,37,1,1,1,0,2,9,0.563,30,0,0,1.5792,1.5792,0,0,-0.0681,0.1412,1.009,3,1,1,2,2,1,1,2,1,7,2,2,4,2,3,0,1,1,10,1,1.3,0
49,37,2,0,1,0,1,9,0.803,0,40,0,-0.2391,0,-0.2391,0,0.0157,1.3226,1.0687,0,1,1,2,2,1,1,2,1,7,2,2,4,2,3,0,0,0,0,0,1.3,0
49,37,3,0,1,1,3,13,1.148,10,0,0.5,-0.0281,0,0,-0.0281,1.6006,0.8422,0.7327,0,1,1,2,2,1,1,2,1,7,2,2,4,2,3,0,0,0,0,0,-1.5,0
50,38,1,0,1,0,2,9,0.756,15,0,0,1.2817,1.2817,0,0,0.7685,-0.0536,0.1808,1.5,1,2,3,2,1,1,3,2,7,4,2,5,2,4,0,0,0,10,1,1.1,0
50,38,2,0,1,0,1,0,0.074,0,30,0,-0.5826,0,-0.5826,0,-1.5978,0.5116,0.4331,0,1,2,3,2,1,1,3,2,7,4,2,5,2,4,0,0,0,0,0,1.1,0
50,38,3,1,1,1,3,24,1.172,11,0,1,0.2811,0,0,0.2811,1.3442,1.0719,0.0144,0,1,2,3,2,1,1,3,2,7,4,2,5,2,4,0,0,0,0,0,0.1,0
53,39,1,0,1,0,1,0,-0.818,60,0,0,-1.7354,-1.7354,0,0,-1.605,-2.2571,-0.9486,1.5,1,1,4,2,1,2,2,2,5,5,1,5,4,2,1,1,2,10,1,0.6,0
53,39,2,0,1,0,2,1,0.507,0,90,0,-0.0854,0,-0.0854,0,0.2828,0.4438,-0.6693,0,1,1,4,2,1,2,2,2,5,5,1,5,4,2,0,0,0,0,0,1.3,0
53,39,3,1,1,1,3,28,0.889,20,0,1,0.1243,0,0,0.1243,1.3146,0.4742,-0.4003,0,1,1,4,2,1,2,2,2,5,5,1,5,4,2,0,0,0,0,0,-0.2,0
54,40,1,0,1,0,1,3,-0.779,25,0,0,-0.3,-0.3,0,0,-1.4139,-1.7258,-1.8146,1.5,1,6,4,2,1,1,4,2,6,5,3,4,5,2,1,0,1,8,1,-0.9,2
54,40,2,0,1,0,2,1,0.225,0,25,0,0.4278,0,0.4278,0,-1.2456,0.8849,-0.1731,0,1,6,4,2,1,1,4,2,6,5,3,4,5,2,0,0,0,0,0,1.6,2
54,40,3,1,1,1,3,11,0.786,15,0,0.7,-0.7095,0,0,-0.7095,0.7747,0.5898,0.6365,0,1,6,4,2,1,1,4,2,6,5,3,4,5,2,0,0,0,0,0,-0.9,2
55,41,1,0,1,0,1,0,-0.074,15,0,0,-2.403,-2.403,0,0,-0.2127,-1.4298,-0.1602,-9,1,1,1,1,1,2,0,-9,4,2,4,2,4,2,9,9,9,5,3,-0.1,0
55,41,2,0,1,0,2,9,0.653,0,20,0,0.0961,0,0.0961,0,-0.0598,0.8208,0.1194,0,1,1,1,1,1,2,0,-9,4,2,4,2,4,2,0,0,0,0,0,1.4,0
55,41,3,1,1,1,3,22,0.11,5,0,-9,-0.7077,0,0,-0.7077,0.2443,-0.8391,-0.2539,0,1,1,1,1,1,2,0,-9,4,2,4,2,4,2,0,0,0,0,0,-0.8,0
56,42,1,0,1,0,1,0,0.456,3,0,0,-0.0906,-0.0906,0,0,0.1579,0.2275,0.9725,0.5,1,1,6,1,1,2,1,1,6,5,0,5,3,3,0,0,0,10,1,-1.5,9
56,42,2,1,1,1,3,16,0.913,0,6,0,-0.0571,0,-0.0571,0,1.0988,1.1825,-0.623,0,1,1,6,1,1,2,1,1,6,5,0,5,3,3,0,0,0,0,0,1,9
56,42,3,0,1,0,2,6,0.779,2,0,1,-0.1793,0,0,-0.1793,0.6962,0.2547,1.2032,0,1,1,6,1,1,2,1,1,6,5,0,5,3,3,0,0,0,0,0,-1.5,9
57,43,1,0,1,0,2,3,-0.659,30,0,0,999,999,0,0,-1.4814,-2.0176,0.3008,0.5,1,6,6,2,1,2,1,1,7,5,5,0,3,4,1,1,2,10,1,-3.3,11
57,43,2,0,1,0,1,0,-0.394,0,30,0,999,0,999,0,-2.1731,0.145,-0.372,0,1,6,6,2,1,2,1,1,7,5,5,0,3,4,0,0,0,0,0,-0.2,11
57,43,3,1,1,1,3,34,0.911,15,0,1,999,0,0,999,0.9864,1.2722,0.4176,0,1,6,6,2,1,2,1,1,7,5,5,0,3,4,0,0,0,0,0,1.4,11
58,44,1,1,1,0,1,3,0.267,20,0,0,0.8582,0.8582,0,0,0.5872,-0.5562,-1.5907,0.5,2,6,6,2,1,2,1,0,5,5,5,1,1,4,1,0,1,10,1,0.6,1
58,44,2,0,1,0,2,0,-0.027,0,-9,0,0.1063,0,0.1063,0,-1.7736,0.8287,-0.2093,0,2,6,6,2,1,2,1,0,5,5,5,1,1,4,0,0,0,0,0,1.3,1
58,44,3,0,1,1,3,25,0.541,10,0,0,-0.0883,0,0,-0.0883,0.7842,-0.4642,0.2381,0,2,6,6,2,1,2,1,0,5,5,5,1,1,4,0,0,0,0,0,-0.7,1
59,45,1,1,1,0,1,3,-1,20,0,0,-0.9016,-0.9016,0,0,-1.3818,-2.1894,-2.7149,0.5,1,1,1,2,1,2,2,1,4,2,1,3,3,1,1,1,2,3,1,-0.2,0
59,45,2,0,1,0,2,0,-0.307,0,15,0,0.2205,0,0.2205,0,-0.9579,0.0353,-2.1957,0,1,1,1,2,1,2,2,1,4,2,1,3,3,1,0,0,0,0,0,0.6,0
