surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
528,376,2,0,1,1,3,3,0.782,0,15,0,1.0562,0,1.0562,0,0.7723,0.3944,0.2269,0,1,1,5,1,1,1,3,1,4,5,1,5,2,3,0,0,0,0,0,1.1,0
528,376,3,1,1,0,2,3,0.729,2,0,0.3,0.6987,0,0,0.6987,0.8261,-0.0077,0.0825,0,1,1,5,1,1,1,3,1,4,5,1,5,2,3,0,0,0,0,0,0.6,0
529,377,1,0,1,0,2,0,0.017,35,0,0,-0.7171,-0.7171,0,0,-0.8695,-1.0077,0.6629,3,2,1,5,1,1,1,3,2,7,5,1,6,3,2,0,0,0,10,1,1.3,0
529,377,2,0,1,0,1,0,0.621,0,30,0,0.7683,0,0.7683,0,0.2141,-0.3668,1.2846,0,2,1,5,1,1,1,3,2,7,5,1,6,3,2,0,0,0,0,0,2.4,0
529,377,3,1,1,1,3,10,0.652,18,0,0.7,-0.3475,0,0,-0.3475,0.5385,0.0238,0.6193,0,2,1,5,1,1,1,3,2,7,5,1,6,3,2,0,0,0,0,0,-2.2,0
530,378,1,0,1,0,2,3,0.334,12,0,0,1.1922,1.1922,0,0,-0.0169,-0.6176,0.7054,1.5,2,3,3,2,1,2,3,0,6,5,4,1,3,4,1,1,2,9,1,0.9,0
530,378,2,0,1,1,3,3,0.457,0,15,0,0.7974,0,0.7974,0,-0.4723,0.8359,0.7237,0,2,3,3,2,1,2,3,0,6,5,4,1,3,4,0,0,0,0,0,0.9,0
530,378,3,1,1,0,1,7,0.491,5,0,0,0.3107,0,0,0.3107,0.8967,-0.1876,-0.9047,0,2,3,3,2,1,2,3,0,6,5,4,1,3,4,0,0,0,0,0,-1.1,0
533,379,1,0,1,0,2,5,-0.045,8,0,0,0.6114,0.6114,0,0,0.0206,-1.129,0.4734,0.5,2,1,6,2,1,1,0,1,5,5,2,1,3,1,0,1,1,10,1,0.5,6
533,379,2,0,1,0,1,1,0.388,0,15,0,-0.4173,0,-0.4173,0,0.0963,0.072,0.0917,0,2,1,6,2,1,1,0,1,5,5,2,1,3,1,0,0,0,0,0,0.5,6
